url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Terreno,Dormitorios Servicio,Garage,Calefacción,Cocina,Año de Construcción,Jardín,Dormitorios Suite,Piscina,Orientación,Plantas,Parrillero,Acepta Mascotas,Superficie Balcones,Disposición,Pisos Edificio,Lavadero,Seguridad,Altura,Aptos por piso,Patio,Muebles,Propiedad Horizontal,Gastos Comúnes,Piso,Ascensor
https://www.casasymas.com.uy/propiedad/148527-casa-en-venta-4-dormitorios-servicio-completo-barrio-jardines-de-carrasco-ref-1579,U$S 2.800.000Venta,4,7,647 m²,647m²,1352m²,Dormitorios de Servicio: 1,Garaje: 4,Losa radiante eléctrica,Cocina Definida,2005,Jardín,Dormitorios en Suite: 4,Piscina,Norte,2,Parrillero,,,,,,Barrio con seguridad 24hs,,,,,,$U 17550,,
https://www.casasymas.com.uy/propiedad/220084-casa-en-venta-c-cochera-en-malvin,U$S 550.000Venta,4,3,882 m²,210m²,672m²,,Garaje: 1,,Cocina Definida,1935,Jardín,,,Este,,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/225924-casa-en-venta-de-2-dormitorios-c-cochera-en-malvin,U$S 229.000Venta,2,1,171 m²,61m²,110m²,,Garaje: 2,,Cocina Definida,1975,Jardín,,,Este,,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/231731-venta-casa-6-dormitorios-us-710000-alquiler-us-4000,U$S 710.000Venta,6,6,191 m²,335m²,191m²,Dormitorios de Servicio: 1,Garaje: 1,,Cocina Definida,1920,Jardín,Dormitorios en Suite: 2,,,,,Acepta Mascotas,,,,,,3m,1,,,,,,
https://www.casasymas.com.uy/propiedad/186450-casa-en-venta-de-3-dormitorios-en-carrasco-norte-montevideo,U$S 380.000Venta,3,3,130 m²,110m²,20m²,,Cochera: 0,,,,Jardín,,,,2,Parrillero,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/122464-casa-en-venta-de-3-dormitorios-con-garage-en-buceo-montevideo,U$S 198.000Venta,3,1,110 m²,75m²,110m²,,Garaje: 1,,,,,,,Norte,1,,,,Frente,1,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/223881-casa-en-venta-de-4-dormitorios-en-carrasco-montevideo,U$S 915.000Venta,4,6,545 m²,472m²,880m²,Dormitorios de Servicio: 1,,,,1994,Jardín,,Piscina,Norte,,,Acepta Mascotas,545m²,Frente,2,Lavadero,,,,,,,,,
https://www.casasymas.com.uy/propiedad/204053-casa-esquina-pu-estilo-chalet-5-dormitorios-barbacoa-y-gran-fondo,U$S 360.000Venta,5,3,427 m²,224m²,,,Garaje: 2,"estufa a leña, aire acondicionado",Cocina Definida,1960,Jardín,,,,2,Parrillero,,,,,,"rejas, alarma, cámaras de vigilancia",,,,,,,,
https://www.casasymas.com.uy/propiedad/123654-venta-casa-pocitos-4-dormitorios,U$S 420.000Venta,3,2,110 m²,90m²,,,Garaje: 2,,Cocina Definida,1965,Jardín,,,Norte,1,,Acepta Mascotas,,,,,,,,,,Propiedad Horizontal,,,
https://www.casasymas.com.uy/propiedad/194576-venta-casa-4-dormitorios-servicio-punta-gorda-ref-1879,U$S 850.000Venta,4,5,295 m²,277m²,594m²,Dormitorios de Servicio: 1,Garaje: 1,Losa radiante a gas,,1941,Jardín,Dormitorios en Suite: 1,Piscina,Oeste,2,,,,,,,,,,,,,,,
