url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Terreno,Superficie Balcones,Garage,Parrillero,Orientación,Cocina,Año de Construcción,Jardín,Dormitorios Servicio,Calefacción,Acepta Mascotas,Piscina,Plantas,Seguridad,Disposición,Lavadero,Dormitorios Suite,Propiedad Horizontal,Muebles,Pisos Edificio,Altura,Aptos por piso,Gastos Comúnes,Patio,Piso
https://www.casasymas.com.uy/propiedad/190507-casa-en-venta-de-3-dormitorios-con-garage-en-sayago-montevideo,U$S 172.000Venta,3,2,498 m²,150m²,498m²,,Garaje: 1,Parrillero,Oeste,Cocina Definida,1943,Jardín,,,Acepta Mascotas,,1,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/154223-casa-en-venta-de-6-dormitorios-en-goes-montevideo,U$S 250.000Venta,6,2,350 m²,300m²,350m²,,Cochera: 2,Parrillero,,Cocina Definida,,,Dormitorios de Servicio: 1,,Acepta Mascotas,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/186448-casa-en-venta-de-4-dormitorios-en-pocitos-montevideo,U$S 695.000Venta,4,4,,249m²,321m²,31m²,Garaje: 2,Parrillero,Este,Cocina Integrada,1927,Jardín,,,Acepta Mascotas,Piscina,2,Rejas alarma,,,Dormitorios en Suite: 1,,,,,,,,
https://www.casasymas.com.uy/propiedad/184718-venta-casa-de-diseno-amoblada-en-punta-carretas-4106,U$S 785.000Venta,3,3,316 m²,173m²,316m²,316m²,,,,,1,Jardín,,,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/163620-casa-en-venta-de-3-dormitorios-en-prado-montevideo,U$S 230.000Venta,3,2,120 m²,120m²,,,,,Sur,,1945,,,,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/74195-casa-en-venta-de-3-dormitorios-en-punta-carretas-montevideo,U$S 439.000Venta,3,3,338 m²,338m²,235m²,,Garaje: 0,,Oeste,,,,,,,,2,,,,,,,2,,,,,
https://www.casasymas.com.uy/propiedad/72326-casas-en-alquiler-3-dormitorios-piscina-en-carrasco,U$S 1.150.000Venta,3,4,856 m²,301m²,856m²,,Cochera: 1,,Norte,Cocina Definida,,Jardín,Dormitorios de Servicio: 1,Gas oil,Acepta Mascotas,Piscina,2,,,,Dormitorios en Suite: 1,,Muebles,,,,,,
https://www.casasymas.com.uy/propiedad/173084-oportunidad-unica-en-carrasco-ideal-para-empresa-o-inversion,U$S 1.950.000Venta,10,10,972 m²,895m²,,,Garaje: 2,Parrillero,Este,,1949,,,,,,2,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/124059-casa-en-venta-de-2-dormitorios-con-garage-en-pocitos-nuevo-montevideo,U$S 250.000Venta,2,2,93 m²,93m²,72m²,21m²,Garaje: 1,,Oeste,,,,,,,,3,,Frente,,,,,3,,,,,
https://www.casasymas.com.uy/propiedad/122278-casa-en-venta-de-3-dormitorios-con-garage-en-parque-batlle-montevideo,U$S 298.000Venta,3,2,120 m²,100m²,120m²,20m²,Garaje: 1,,Norte,,,,,,,,2,,Frente,,,,,2,,,,,
https://www.casasymas.com.uy/propiedad/123654-venta-casa-pocitos-4-dormitorios,U$S 420.000Venta,3,2,110 m²,90m²,,,Garaje: 2,,Norte,Cocina Definida,1965,Jardín,,,Acepta Mascotas,,1,,,,,Propiedad Horizontal,,,,,,,
https://www.casasymas.com.uy/propiedad/156902-casa-en-venta-de-2-dormitorios-con-garage-en-jacinto-vera-montevideo,U$S 180.000Venta,2,1,171 m²,121m²,50m²,,Garaje: 1,,Este,Cocina Definida,1960,Jardín,,,Acepta Mascotas,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/160318-casa-en-venta-de-3-dormitorios-en-jacinto-vera-montevideo,U$S 168.000Venta,3,1,82 m²,82m²,82m²,,,,,Cocina Definida,1941,,,,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/130373-casa-en-venta-de-3-dormitorios-en-carrasco-norte-montevideo,U$S 385.000Venta,3,3,,114m²,76m²,,,Parrillero,,Cocina Integrada,,Jardín,,,,,,,,,Dormitorios en Suite: 1,,,,,,,,
https://www.casasymas.com.uy/propiedad/186450-casa-en-venta-de-3-dormitorios-en-carrasco-norte-montevideo,U$S 380.000Venta,3,3,130 m²,110m²,20m²,,Cochera: 0,Parrillero,,,,Jardín,,,,,2,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/153933-casa-en-venta-de-3-dormitorios-en-maronas-montevideo,U$S 129.000Venta,3,1,205 m²,83m²,,,Cochera: 2,,Norte,Cocina Definida,1963,Jardín,,,Acepta Mascotas,,1,,,,,Propiedad Horizontal,,,,,,,
https://www.casasymas.com.uy/propiedad/125332-casa-en-venta-de-3-dormitorios-con-garage-en-puerto-del-buceo-montevideo,U$S 370.000Venta,3,3,250 m²,,,,Cochera: 1,,,,,,,"Calefacción central con caldera, calefactor y estufa de leña",,,,,,,Dormitorios en Suite: 1,,,,,,,,
https://www.casasymas.com.uy/propiedad/89923-casa-en-venta-de-4-dormitorios-en-punta-gorda-montevideo,U$S 398.000Venta,4,2,190 m²,143m²,195m²,,Garaje: 6,,Este,,,,,,,,2,,Frente,,,,,2,,,,,
https://www.casasymas.com.uy/propiedad/188273-casa-en-venta-de-3-dormitorios-con-garage-en-carrasco-montevideo,U$S 1.280.000Venta,3,6,480 m²,386m²,,94m²,Garaje: 1,Parrillero,Norte,Cocina Definida,1974,Jardín,,,Acepta Mascotas,,2,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/142877-venta-casa-de-3-dormitorios-punta-gorda-montevideo,U$S 580.000Venta,3,3,185 m²,185m²,199m²,185m²,Garaje: 1,,,,1,Jardín,,,,,,,Frente,,,,,1,,,,Patio,
https://www.casasymas.com.uy/propiedad/109270-venta-y-alquiler-casa-3-dormitorios-serv-punta-gorda-ciudad-de-guayaquil-en-la-mejor-calle,U$S 600.000Venta,3,3,300 m²,300m²,480m²,,Garaje: 1,Parrillero,,Cocina Definida,1993,,Dormitorios de Servicio: 1,,,Piscina,1,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/161247-casa-en-venta-de-4-dormitorios-en-carrasco-montevideo,U$S 880.000Venta,4,6,1005 m²,338m²,1005m²,,Garaje: 4,,,Cocina Definida,1989,Jardín,Dormitorios de Servicio: 1,,Acepta Mascotas,Piscina,,,,,Dormitorios en Suite: 2,,,,,,,,
https://www.casasymas.com.uy/propiedad/179495-casa-en-venta-de-4-dormitorios-con-garage-en-pocitos-montevideo,U$S 335.000Venta,4,2,137 m²,137m²,164m²,,Garaje: 1,Parrillero,,Cocina Integrada,,,,,Acepta Mascotas,,3,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/124011-casa-en-venta-de-3-dormitorios-en-san-nicolas-montevideo,U$S 1.400.000Venta,3,3,1193 m²,220m²,1193m²,,Garaje: 2,,Norte,,1,,Dormitorios de Servicio: 1,,,Piscina,,,,,Dormitorios en Suite: 1,,,,,,U$S 650,,
https://www.casasymas.com.uy/propiedad/200339-casa-en-venta-de-3-dormitorios-con-garage-en-buceo-montevideo,U$S 330.000Venta,3,1,138 m²,126m²,193m²,12m²,Garaje: 1,Parrillero,,Cocina Definida,1957,Jardín,,,,,1,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/139087-casa-en-venta-de-4-dormitorios-en-prado-montevideo,U$S 1.500.000Venta,4,6,1100 m²,550m²,550m²,,Garaje: 2,,Oeste,Cocina Definida,2015,Jardín,,,Acepta Mascotas,Piscina,,,,,,,,,,,,Patio,
https://www.casasymas.com.uy/propiedad/164751-casa-en-venta-3-dormitorios-tres-cruces,U$S 159.000Venta,3,1,158 m²,119m²,158m²,,,,,Cocina Definida,1940,,,,,,,,Frente,Lavadero,,,,,,,,,
https://www.casasymas.com.uy/propiedad/182440-muy-buen-padron-en-carrasco-norte,U$S 410.000Venta,3,3,211 m²,211m²,525m²,,Garaje: 1,Parrillero,Este,Cocina Integrada,1967,Jardín,Dormitorios de Servicio: 1,Tiro balanceado y estufa a leña,Acepta Mascotas,Piscina,2,,,,Dormitorios en Suite: 1,,,,,,,,
https://www.casasymas.com.uy/propiedad/66552-casa-en-alquiler-y-venta-de-6-dormitorios-en-carrasco-norte-montevideo,U$S 1.700.000Venta,6,6,10143 m²,648m²,10143m²,,Garaje: 4,Parrillero,Oeste,Cocina Definida,1946,Jardín,Dormitorios de Servicio: 1,Bomba a gasoil nueva,Acepta Mascotas,,2,,,,Dormitorios en Suite: 1,,,,,,,,
https://www.casasymas.com.uy/propiedad/183266-casa-en-venta-de-4-dormitorios-en-carrasco-montevideo,U$S 850.000Venta,4,3,429 m²,256m²,429m²,,Garaje: 4,,,Cocina Definida,2005,Jardín,Dormitorios de Servicio: 1,,Acepta Mascotas,,,,,,Dormitorios en Suite: 1,,,,,,,,
https://www.casasymas.com.uy/propiedad/175617-casa-en-venta-de-2-dormitorios-en-pocitos-montevideo,U$S 158.000Venta,2,1,80 m²,70m²,80m²,,,,,Cocina Definida,1960,,,,,,,,,Lavadero,,,,,3m,1,UYU 4500,Patio,
https://www.casasymas.com.uy/propiedad/105515-casa-en-venta-de-2-dormitorios-en-cordon-montevideo,U$S 138.000Venta,2,1,93 m²,93m²,94m²,,Garaje: 0,,Norte,,,,,,,,1,,Frente,,,,,1,,,,,
https://www.casasymas.com.uy/propiedad/146602-casa-en-venta-de-2-dormitorios-con-garage-en-sayago-montevideo,U$S 160.000Venta,2,1,191 m²,123m²,191m²,,Cochera: 1,Parrillero,Oeste,Cocina Integrada,1959,Jardín,,aire acondicionado y estufa,Acepta Mascotas,,1,,,,,Propiedad Horizontal,,,,,,,
https://www.casasymas.com.uy/propiedad/202281-casa-en-venta-de-3-dormitorios-en-punta-gorda-montevideo,U$S 650.000Venta,3,5,390 m²,324m²,390m²,,Garaje: 2,,,Cocina Definida,2011,Jardín,,,Acepta Mascotas,Piscina,,,,Lavadero,Dormitorios en Suite: 2,,,,3m,1,,Patio,
https://www.casasymas.com.uy/propiedad/169046-proximo-a-millan-y-micenas-padron-unico-en-1-planta,U$S 248.000Venta,3,2,255 m²,90m²,255m²,,Cochera: 1,Parrillero,Oeste,Cocina Definida,1923,Jardín,Dormitorios de Servicio: 2,Hogar,,,1,,,,Dormitorios en Suite: 1,,,,,,,,
https://www.casasymas.com.uy/propiedad/183832-venta-casa-parque-rivera,U$S 145.000Venta,3,2,221 m²,68m²,153m²,,,,Norte,Cocina Definida,,Jardín,,,,,,,,,,,,,,,UYU 2000,Patio,
https://www.casasymas.com.uy/propiedad/117530-casa-en-alquiler-y-venta-de-8-dormitorios-en-pocitos-montevideo,U$S 1.500.000Venta,8,5,,444m²,666m²,38m²,Garaje: 2,Parrillero,Norte,Cocina Definida,1928,Jardín,Dormitorios de Servicio: 1,radiadores por gas,Acepta Mascotas,,2,rejas y alarma,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/193911-casa-en-venta-de-3-dormitorios-con-garage-en-carrasco-sur-montevideo,U$S 411.000Venta,3,3,200 m²,160m²,,,Cochera: 1,Parrillero,Norte,Cocina Definida,,Jardín,,"Aire acondicionado, estufa de alto rendimiento",Acepta Mascotas,Piscina,3,REJAS,,,,Propiedad Horizontal,Muebles,,,,$U 5500,,
https://www.casasymas.com.uy/propiedad/142144-casa-en-venta-de-3-dormitorios-en-colon-montevideo,U$S 160.000Venta,3,1,515 m²,146m²,,,Cochera: 3,Parrillero,Norte,Cocina Definida,1960,Jardín,,,Acepta Mascotas,,1,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/122464-casa-en-venta-de-3-dormitorios-con-garage-en-buceo-montevideo,U$S 198.000Venta,3,1,110 m²,75m²,110m²,,Garaje: 1,,Norte,,,,,,,,1,,Frente,,,,,1,,,,,
https://www.casasymas.com.uy/propiedad/195148-casa-en-venta-de-4-dormitorios-con-garage-en-paso-molino-montevideo,U$S 250.000Venta,4,2,150 m²,135m²,150m²,,Garaje: 1,,,Cocina Definida,1,Jardín,,,Acepta Mascotas,,,,,,,,,,3m,1,,,
https://www.casasymas.com.uy/propiedad/192087-casa-en-venta-de-3-dormitorios-con-garage-en-jacinto-vera-montevideo,U$S 147.000Venta,3,1,80 m²,102m²,65m²,22m²,Garaje: 1,,Este,,,,,,,,2,,,,,,,2,,,,,
