url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Balcones,Garage,Año de Construcción,Superficie Terreno,Dormitorios Suite,Gastos Comúnes,Parrillero,Calefacción,Plantas,Cocina,Seguridad,Jardín,Acepta Mascotas,Dormitorios Servicio,Piscina,Orientación,Disposición,Propiedad Horizontal,Altura,Aptos por piso,Patio,Pisos Edificio,Muebles,Lavadero,Piso,Ascensor
https://www.casasymas.com.uy/propiedad/158707-casa-en-venta-de-4-dormitorios-en-pocitos-nuevo-montevideo,U$S 790.000Venta,4,3,335 m²,200m²,,Garaje: 2,1940,335m²,Dormitorios en Suite: 1,,,,,Cocina Definida,,Jardín,Acepta Mascotas,,Piscina,,,,3m,1,Patio,,,Lavadero,,
https://www.casasymas.com.uy/propiedad/194478-casa-en-venta-de-3-dormitorios-con-garage-en-brazo-oriental-montevideo,U$S 249.000Venta,3,3,220 m²,220m²,,Garaje: 1,1964,181m²,,,Parrillero,Estufa a leña,2,Cocina Definida,,Jardín,,,,Oeste,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/166257-casa-en-venta-de-5-dormitorios-en-san-nicolas-montevideo,U$S 1.300.000Venta,5,5,755 m²,273m²,,Cochera: 5,2013,755m²,Dormitorios en Suite: 1,$U 20000,Parrillero,Losa Radiante / Bomba de calor / AA,2,Cocina Definida,Vigilancia 24 hs,Jardín,Acepta Mascotas,Dormitorios de Servicio: 1,Piscina,Norte,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/158792-casa-en-venta-de-4-dormitorios-en-carrasco-montevideo,U$S 890.000Venta,4,6,1814 m²,300m²,,Garaje: 4,1960,1814m²,Dormitorios en Suite: 2,,,,,Cocina Definida,,Jardín,Acepta Mascotas,Dormitorios de Servicio: 1,,,,,3m,1,,,,,,
https://www.casasymas.com.uy/propiedad/195384-casa-en-venta-de-2-dormitorios-en-la-teja-montevideo,U$S 195.000Venta,2,2,161 m²,90m²,,Cochera: 4,1937,451m²,,,Parrillero,esfufa alto rendimiento,1,Cocina Integrada,"rejas, alarma, cerca electrica",,Acepta Mascotas,,Piscina,Este,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/129572-casa-en-venta-de-4-dormitorios-con-garage-en-carrasco-montevideo,U$S 2.100.000Venta,4,8,,595m²,,Garaje: 1,,1270m²,Dormitorios en Suite: 4,$U 35000,Parrillero,,2,Cocina Integrada,"Guardia de seguridad 24hs , cámaras y alarma.",Jardín,Acepta Mascotas,Dormitorios de Servicio: 1,Piscina,Norte,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/188294-casa-en-venta-de-5-dormitorios-con-garage-en-carrasco-montevideo,U$S 770.000Venta,5,3,277 m²,277m²,15m²,Garaje: 1,1965,,,,Parrillero,,2,Cocina Definida,,Jardín,Acepta Mascotas,,,Oeste,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/142090-casa-en-venta-de-3-dormitorios-con-garage-en-malvin-montevideo,U$S 470.000Venta,3,3,264 m²,167m²,,Cochera: 1,1954,,,,,,2,Cocina Definida,,Jardín,Acepta Mascotas,Dormitorios de Servicio: 1,,Este,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/201722-casa-en-venta-de-5-dormitorios-en-malvin-montevideo,U$S 759.000Venta,5,6,600 m²,322m²,,Garaje: 3,1951,600m²,Dormitorios en Suite: 5,,,,,Cocina Definida,,Jardín,,Dormitorios de Servicio: 1,Piscina,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/164717-venta-de-casa-barrio-palermo-a-reciclar-con-mas-de-5-ambientes,U$S 139.000Venta,3,1,105 m²,105m²,,,1929,105m²,,,,,,Cocina Definida,,,,,,,Frente,,,,,,,,,
https://www.casasymas.com.uy/propiedad/116378-casa-en-venta-de-4-dormitorios-en-la-figurita-montevideo,U$S 105.000Venta,4,1,94 m²,94m²,,,,,,,,,,Cocina Definida,,,,,,Norte,,Propiedad Horizontal,,,,,,,,
https://www.casasymas.com.uy/propiedad/142144-casa-en-venta-de-3-dormitorios-en-colon-montevideo,U$S 160.000Venta,3,1,515 m²,146m²,,Cochera: 3,1960,,,,Parrillero,,1,Cocina Definida,,Jardín,Acepta Mascotas,,,Norte,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/154223-casa-en-venta-de-6-dormitorios-en-goes-montevideo,U$S 250.000Venta,6,2,350 m²,300m²,,Cochera: 2,,350m²,,,Parrillero,,,Cocina Definida,,,Acepta Mascotas,Dormitorios de Servicio: 1,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/185446-venta-en-exclusiva-casa-3-dormitorios-escritorio-o-consultorio-profesional-servicio-completo-en-punta-carretas,U$S 1.145.000Venta,4,6,302 m²,384m²,,Garaje: 1,,302m²,Dormitorios en Suite: 1,,,,,Cocina Definida,,,,Dormitorios de Servicio: 1,,,Frente,,,,,,,Lavadero,,
