url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Terreno,Dormitorios Suite,Garage,Parrillero,Calefacción,Orientación,Popiedad Horizontal,Plantas,Cocina,Año de Construcción,Jardín,Acepta Mascotas,Gastos Comúnes,Piscina,Seguridad,Disposición,Superficie Balcones,Dormitorios Servicio,Pisos Edificio,Patio,Muebles,Altura,Aptos por piso,Lavadero
https://www.casasymas.com.uy/propiedad/82127-vendo-casa-de-4-dormitorios-en-paso-molino,U$S 240.000Venta,4,3,390 m²,302m²,390m²,,Garaje: 4,Parrillero,,Este,,,Cocina Definida,1978,Jardín,,,,,,8m²,,,,,,,
https://www.casasymas.com.uy/propiedad/161255-casa-en-venta-de-2-dormitorios-en-carrasco-montevideo,U$S 375.000Venta,2,2,160 m²,110m²,160m²,,Garaje: 3,,,,,,Cocina Definida,1970,,Acepta Mascotas,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/161247-casa-en-venta-de-4-dormitorios-en-carrasco-montevideo,U$S 880.000Venta,4,6,1005 m²,338m²,1005m²,Dormitorios en Suite: 2,Garaje: 4,,,,,,Cocina Definida,1989,Jardín,Acepta Mascotas,,Piscina,,,,Dormitorios de Servicio: 1,,,,,,
https://www.casasymas.com.uy/propiedad/118244-casa-en-venta-de-3-dormitorios-con-garage-en-conciliacion-montevideo,U$S 59.500Venta,3,1,195 m²,72m²,195m²,,Garaje: 1,,,,,,Cocina Definida,,,,,,,Frente,,,,,,,,
https://www.casasymas.com.uy/propiedad/183835-venta-casa-punta-carretas,U$S 349.000Venta,3,3,125 m²,125m²,,,,,,Norte,,,Cocina Definida,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/72326-casas-en-alquiler-3-dormitorios-piscina-en-carrasco,U$S 1.150.000Venta,3,4,856 m²,301m²,856m²,Dormitorios en Suite: 1,Cochera: 1,,Gas oil,Norte,,2,Cocina Definida,,Jardín,Acepta Mascotas,,Piscina,,,,Dormitorios de Servicio: 1,,,Muebles,,,
https://www.casasymas.com.uy/propiedad/130373-casa-en-venta-de-3-dormitorios-en-carrasco-norte-montevideo,U$S 385.000Venta,3,3,,114m²,76m²,Dormitorios en Suite: 1,,Parrillero,,,,,Cocina Integrada,,Jardín,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/169046-casa-en-venta-de-3-dormitorios-con-garage-en-atahualpa-montevideo,U$S 248.000Venta,3,2,255 m²,90m²,255m²,Dormitorios en Suite: 1,Cochera: 1,Parrillero,Hogar,Oeste,,1,Cocina Definida,1923,Jardín,,,Piscina,,,,Dormitorios de Servicio: 2,,,,,,
https://www.casasymas.com.uy/propiedad/188294-casa-en-venta-de-5-dormitorios-con-garage-en-carrasco-montevideo,U$S 770.000Venta,5,3,277 m²,277m²,,,Garaje: 1,Parrillero,,Oeste,,2,Cocina Definida,1965,Jardín,Acepta Mascotas,,,,,15m²,,,,,,,
https://www.casasymas.com.uy/propiedad/116424-casa-en-venta-de-3-dormitorios-con-garage-en-union-montevideo,U$S 89.000Venta,3,2,100 m²,,,,Garaje: 1,,,Este,Popiedad Horizontal,,,,,Acepta Mascotas,,,,,,,,,,,,
