url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Balcones,Dormitorios Servicio,Dormitorios Suite,Garage,Gastos Comúnes,Calefacción,Orientación,Disposición,Popiedad Horizontal,Piso,Cocina,Aptos por piso,Pisos Edificio,Seguridad,Ascensor,Acepta Mascotas,Año de Construcción,Plantas,Piscina,Parrillero,Muebles,Lavadero,Superficie Terreno,Altura,Jardín,Patio
https://www.casasymas.com.uy/propiedad/121029-venta-apto-3-dormitorios-rambla-malvin-lyra-104-lcampiglia,U$S 455.000Venta,3,2,137.97 m²,137m²,137m²,,,,,,,Frente,,,Cocina Definida,,1,,Ascensor,Acepta Mascotas,2021,,Piscina,,,,,,Jardín,
https://www.casasymas.com.uy/propiedad/198553-apartamento-en-venta-de-2-dormitorios-en-la-comercial-montevideo,U$S 115.000Venta,2,1,48 m²,47m²,1m²,,,,$U 3600,,Oeste,,Popiedad Horizontal,3,,,,,,,2009,,,,,,,,,
https://www.casasymas.com.uy/propiedad/83092-apartamento-en-venta-monoambiente-en-pocitos-montevideo,U$S 109.000Venta,Monoambiente,1,29 m²,25m²,,,,,$U 3500,,,,Popiedad Horizontal,,,,,,Ascensor,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/138663-amplio-apto-3-dorm-cochera-y-amenities,U$S 218.000Venta,3,2,107 m²,107m²,,,,Cochera: 1,,,Oeste,Frente,,,Cocina Definida,2,6,Portería de 12hs a 16hs,Ascensor,Acepta Mascotas,1975,,,Parrillero,,,,,Jardín,
https://www.casasymas.com.uy/propiedad/176301-venta-apto-3-dor-en-el-corazon-de-pocitos,U$S 298.000Venta,3,3,117 m²,,8m²,,,Garaje: 1,$U 21,Losa radiante,Este,Frente,,2,Cocina Definida,1,9,,Ascensor,,1962,,,,,,,,,
https://www.casasymas.com.uy/propiedad/110114-apartamento-en-venta-de-1-dormitorio-en-buceo-montevideo,U$S 132.681Venta,1,1,55.8 m²,44m²,,,,Garaje: 0,,,Este,Frente,Popiedad Horizontal,,,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/182235-venta-apartamento-franzini,U$S 179.738Venta,1,1,60 m²,44m²,7m²,,,,$U 5000,,Norte,,Popiedad Horizontal,3,Cocina Integrada,5,11,,Ascensor,,2025,,,Parrillero,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/73731-venta-con-renta-penthouse-3-dormitorios-garage-amenities-diamantis,U$S 595.000Venta,3,3,134 m²,100m²,34m²,,Dormitorios en Suite: 1,Garaje: 1,$U 20000,caldereta a gas y aire acondicionado,Este,Frente,Popiedad Horizontal,19,Cocina Definida,6,20,24 hs,Ascensor,Acepta Mascotas,2013,,Piscina,Parrillero,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/148465-apartamento-en-venta-de-1-dormitorio-con-garage-en-la-blanqueada-montevideo,U$S 127.000Venta,1,1,50 m²,46m²,,,,Garaje: 1,,,,Frente,,,Cocina Definida,16,10,,,,2026,,,,,,,,,
https://www.casasymas.com.uy/propiedad/173173-apartamento-en-venta-de-4-dormitorios-con-garage-en-pocitos-montevideo,U$S 410.000Venta,4,3,133 m²,,,,Dormitorios en Suite: 1,Cochera: 1,$U 26000,,,Frente,Popiedad Horizontal,6,Cocina Definida,,,,Ascensor,,1996,,Piscina,Parrillero,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/82566-venta-de-apartamento-loft-en-buceo-cosmos-home,U$S 234.300Venta,Monoambiente,1,59 m²,40m²,59m²,,,,,,,Contrafrente,,,Cocina Definida,,6,,Ascensor,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/128021-apartamento-en-venta-de-1-dormitorio-en-la-blanqueada-montevideo,U$S 133.881Venta,1,1,54 m²,37m²,5m²,,,,,,,Frente,,,Cocina Definida,1,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/178850-apartamento-en-venta-de-3-dormitorios-en-pocitos-montevideo,U$S 590.000Venta,3,3,230 m²,206m²,,Dormitorios de Servicio: 1,Dormitorios en Suite: 1,Garaje: 2,UYU 40000,,,,,,Cocina Definida,1,,,,Acepta Mascotas,1990,,,,,Lavadero,230m²,3m,,
https://www.casasymas.com.uy/propiedad/96037-excelente-apartamento-3-dormitorios-2-banos-puerto-buceo,U$S 552.700Venta,3,2,125 m²,125m²,125m²,,,,,,,Frente,,,,,6,,Ascensor,,2025,,,,,,,,,
https://www.casasymas.com.uy/propiedad/162185-apartamento-en-venta-de-3-dormitorios-en-pocitos-montevideo,U$S 600.000Venta,3,2,,139m²,,Dormitorios de Servicio: 1,,,,,Este,Frente,,,,1,,,,Acepta Mascotas,1,,,,,,173m²,,,
https://www.casasymas.com.uy/propiedad/96035-excelente-apartamento-1-dormitorio-en-puertito-del-buceo-117,U$S 234.300Venta,1,1,59 m²,59m²,59m²,,,,,,,Frente,,,Cocina Definida,,6,,Ascensor,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/198797-apartamento-de-3-dormitorios-a-estrenar-en-venta-av-libertador-entre-pozos-del-rey-y-valparaiso,U$S 217.971Venta,3,2,75.04 m²,70m²,4m²,,,Cochera: 0,,,Norte,,,10,,,,,Ascensor,,,,,Parrillero,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/113773-apartamento-en-venta-de-2-dormitorios-con-garage-en-carrasco-norte-montevideo,U$S 425.000Venta,2,3,100 m²,,10m²,,Dormitorios en Suite: 2,Garaje: 1,$U 15000,,,,,2,Cocina Definida,,,,Ascensor,,2018,,Piscina,,,,,,,
https://www.casasymas.com.uy/propiedad/199909-apartamento-en-venta-monoambiente-en-centro-montevideo,U$S 98.000Venta,Monoambiente,1,31.88 m²,24m²,1m²,,,Garaje: 0,$U 2700,,Sur,Frente,Popiedad Horizontal,,,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/68329-apartamento-en-venta-monoambiente-en-parque-rodo-montevideo,U$S 113.400Venta,Monoambiente,1,35 m²,27m²,2m²,,,,,,Norte,Interior,Popiedad Horizontal,3,Cocina Integrada,14,10,24 horas,Ascensor,Acepta Mascotas,,,,,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/91419-apartamento-en-venta-de-2-dormitorios-con-garage-en-la-blanqueada-montevideo,U$S 365.000Venta,2,2,109 m²,64m²,45m²,,Dormitorios en Suite: 1,Garaje: 1,$U 8500,,Este,Frente,Popiedad Horizontal,10,Cocina Integrada,1,10,,Ascensor,Acepta Mascotas,2020,,,Parrillero,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/146131-apartamento-en-venta-de-4-dormitorios-con-garage-en-malvin-montevideo,U$S 319.000Venta,4,3,172 m²,90m²,82m²,Dormitorios de Servicio: 1,Dormitorios en Suite: 2,Garaje: 1,UYU 4200,A/c,Sur,Frente,,,Cocina Definida,,,CCTV,Ascensor,Acepta Mascotas,,,,Parrillero,,Lavadero,,,Jardín,
https://www.casasymas.com.uy/propiedad/195511-apartamento-en-venta-de-2-dormitorios-en-la-blanqueada-montevideo,U$S 179.000Venta,2,1,58.89 m²,61m²,5m²,,,Garaje: 0,,,Norte,Frente,Popiedad Horizontal,,,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/95420-apartamento-en-alquiler-y-venta-de-3-dormitorios-en-pocitos-montevideo,U$S 675.000Venta,3,3,206 m²,,30m²,,,Garaje: 2,UYU 42000,,,,,,,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/124628-apartamento-en-venta-monoambiente-en-cordon-montevideo,U$S 108.900Venta,Monoambiente,1,30 m²,27m²,3m²,,,,,,,Frente,,,Cocina Definida,,,,,,2024,,,,,,30m²,,,
https://www.casasymas.com.uy/propiedad/134734-3-dormitorios-a-la-venta-en-lo-mejor-de-malvin,U$S 340.000Venta,3,2,120 m²,96m²,7m²,,Dormitorios en Suite: 1,Cochera: 1,,,Este,Frente,,2,Cocina Integrada,3,5,Cercado perimetral CCTV,Ascensor,Acepta Mascotas,2025,,,Parrillero,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/152003-venta-apartamento-3-dor-al-frente,U$S 79.000Venta,3,1,65 m²,65m²,,,,,,,,Frente,,,Cocina Definida,4,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/167742-apartamento-en-venta-de-3-dormitorios-en-parque-rodo-montevideo,U$S 298.000Venta,3,4,125 m²,120m²,5m²,Dormitorios de Servicio: 1,,,$U 16000,Losa Radiante,Norte,Frente,Popiedad Horizontal,Planta baja,Cocina Definida,2,7,,Ascensor,Acepta Mascotas,1963,,,,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/80558-apartamento-en-venta-en-liv-district-carrasco,U$S 630.000Venta,3,3,178.43 m²,125m²,32m²,,Dormitorios en Suite: 1,Cochera: 2,$U 20000,Losa Radiante a Gas,Norte,Contrafrente,,3,Cocina Integrada,5,5,Porteria 24 Horas,Ascensor,Acepta Mascotas,2026,,,,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/119048-apartamento-en-venta-de-2-dormitorios-con-garage-en-malvin-montevideo,U$S 269.000Venta,2,2,71 m²,59m²,,,,Garaje: 1,UYU 8500,,Oeste,,,,Cocina Definida,,,,,Acepta Mascotas,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/13478-apartamento-en-venta-monoambiente-en-parque-rodo-montevideo,U$S 137.300Venta,Monoambiente,1,40 m²,,,,,,,,Sur,Frente,Popiedad Horizontal,2,Cocina Integrada,,10,Portería,Ascensor,Acepta Mascotas,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/127794-apartamento-en-venta-de-2-dormitorios-en-goes-montevideo,U$S 106.500Venta,2,1,61 m²,61m²,,,,,UYU 2250,Aire Acondicionado,Oeste,Frente,Popiedad Horizontal,3,Cocina Definida,4,4,,,Acepta Mascotas,1960,,,,,,,,,
https://www.casasymas.com.uy/propiedad/80412-apartamento-en-venta-de-2-dormitorios-en-pocitos-nuevo-montevideo,U$S 330.000Venta,2,1,66.53 m²,60m²,3m²,,,Garaje: 2,UYU 7000,,Oeste,Frente,Popiedad Horizontal,,,,1,,,,,1,,,,,,,,
https://www.casasymas.com.uy/propiedad/183598-apartamento-2-dormitorios-frente-al-mar-malvin-lyra-804,U$S 594.000Venta,2,3,148 m²,148m²,148m²,,,Garaje: 2,UYU 21600,,,Frente,,,Cocina Definida,,1,,Ascensor,Acepta Mascotas,1,,Piscina,,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/162791-venta-apartamento-2-dormitorios-un-bano-primer-piso-por-escalera-sobre-la-calle-propios,U$S 155.000Venta,2,1,74 m²,65m²,9m²,,,,UYU 5070,,Norte,Frente,Popiedad Horizontal,1,Cocina Definida,4,3,,,Acepta Mascotas,1951,,,,,Lavadero,,,,
