url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Terreno,Dormitorios Suite,Garage,Parrillero,Calefacción,Muebles,Orientación,Plantas,Año de Construcción,Seguridad,Jardín,Acepta Mascotas,Dormitorios Servicio,Piscina,Cocina,Popiedad Horizontal,Gastos Comúnes,Patio,Superficie Balcones,Disposición,Pisos Edificio,Lavadero,Altura,Aptos por piso,Ascensor,Piso
https://www.casasymas.com.uy/propiedad/188240-venta-casa-3-dormitorios-2-banos-fondo-1-planta-a-reciclar-malvin-norte,U$S 230.000Venta,3,2,114 m²,114m²,496m²,,Cochera: 4,Parrillero,,,Norte,1,1950,cerca eléctrica,Jardín,Acepta Mascotas,,,Cocina Definida,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/29939-casa-en-alquiler-y-venta-de-4-dormitorios-con-garage-en-playa-mansa-maldonado,U$S 890.000Venta,4,4,,,,Dormitorios en Suite: 1,Garaje: 1,,,,,,,,,,Dormitorios de Servicio: 1,Piscina,Cocina Definida,,,,,Frente,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/149183-casa-en-venta-de-2-dormitorios-en-la-juanita-maldonado,U$S 580.000Venta,2,2,553 m²,,553m²,,,,,,,,,,,,,Piscina,Cocina Definida,,,,,Frente,,,,,,
https://www.casasymas.com.uy/propiedad/166357-casa-en-venta-de-4-dormitorios-en-lagomar-canelones,U$S 325.000Venta,4,4,600 m²,260m²,600m²,,Garaje: 4,,,,Oeste,,,,,,,,,,,,600m²,Frente,1,,,,,
https://www.casasymas.com.uy/propiedad/31313-casa-en-venta-de-5-dormitorios-en-punta-ballena-maldonado,U$S 2.380.000Venta,5,2,,450m²,1000m²,,,,,,,,,,,,,,Cocina Definida,,UYU 100,,,,1,,,,,
https://www.casasymas.com.uy/propiedad/137902-casa-en-venta-de-1-dormitorio-en-centro-montevideo,U$S 105.000Venta,1,1,45 m²,,45m²,,,,,,,,,,,,,,Cocina Definida,,,,,Frente,,,,,,
https://www.casasymas.com.uy/propiedad/198988-ultima-unidad-disponilbe,U$S 295.000Venta,3,3,532 m²,112m²,532m²,Dormitorios en Suite: 1,,Parrillero,,,Norte,2,2024,,Jardín,,,,Cocina Definida,Popiedad Horizontal,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/170016-casa-en-venta-de-2-dormitorios-en-piriapolis-maldonado,U$S 179.000Venta,2,1,260 m²,62m²,260m²,,,,,,,,2018,,,,,,Cocina Definida,,,,,Frente,,,,,,
https://www.casasymas.com.uy/propiedad/194912-venta-casa-en-jose-ignacio-2-dormitorios,U$S 397.000Venta,2,1,650 m²,120m²,650m²,,,,,,Norte,,1,,,,,,Cocina Definida,,,,,Frente,,,,,,
https://www.casasymas.com.uy/propiedad/32387-casa-en-venta-de-4-dormitorios-en-punta-del-este-maldonado,U$S 530.000Venta,4,6,,250m²,700m²,,,,,,,,,,,,,Piscina,Cocina Definida,,UYU 100,,,,1,,,,,
https://www.casasymas.com.uy/propiedad/138115-casa-en-alquiler-y-venta-de-3-dormitorios-en-punta-ballena-maldonado,U$S 560.000Venta,3,3,698 m²,220m²,698m²,Dormitorios en Suite: 1,,,,Muebles,,,,,,,Dormitorios de Servicio: 1,Piscina,Cocina Definida,,,,,Frente,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/40906-casa-en-venta-de-3-dormitorios-en-peninsula-maldonado,U$S 600.000Venta,3,2,312 m²,123m²,312m²,Dormitorios en Suite: 1,,,,,Norte,,,,,,,,Cocina Definida,,,,,Frente,,Lavadero,,,,
